0,1,2
0.14363551,0.09756515,406397.12
0.14055696,0.09427857,369690.53
0.14367974,0.099222966,327476.6
0.13699248,0.09053851,356502.44
0.13948654,0.09466571,326570.3
0.14015532,0.09535999,316086.88
0.13636395,0.090943985,319391.5
0.13236034,0.08586476,291598.5
0.13230059,0.08627236,231252.67
0.133007,0.087351196,264713.2
0.12974693,0.08254303,230475.69
0.13299263,0.0872603,241618.58
0.13057262,0.0840629,272521.72
0.13043182,0.08465063,252683.58
0.1303439,0.08439557,248108.5
0.1286378,0.08216561,273843.75
0.13537465,0.0903604,279465.88
0.1334713,0.08858809,289411.97
0.12920408,0.082881026,244607.48
0.13088152,0.084787995,267269.25
0.1260493,0.078920715,247587.53
0.12815231,0.08261048,199623.56
0.1304941,0.084516205,251640.97
0.12438452,0.07725368,248219.44
0.12645596,0.0801167,231167.6
0.12227228,0.07430854,233722.34
0.1228839,0.07523711,232346.4
0.122539446,0.07457643,240867.25
0.123717345,0.07616727,199950.44
0.123854205,0.07662043,231303.06
0.12343365,0.07615093,226965.53
0.122469485,0.07471329,201567.62
0.1307749,0.08664982,278265.34
0.121351905,0.073160425,232442.67
0.123159125,0.076175384,256532.25
0.122891344,0.07563384,248536.7
0.11998522,0.07153028,247051.11
0.12483289,0.07773131,249694.3
0.12467137,0.07830315,315271.97
0.11965444,0.07109902,231017.4
0.12233222,0.075107835,237366.39
0.12261493,0.0751697,243992.81
0.12351906,0.07690344,292199.7
0.12157012,0.07424366,222010.3
0.11894909,0.070425525,231363.47
0.12022703,0.07208057,235681.02
0.12236899,0.07541551,247304.02
0.12024766,0.07253148,243629.81
0.12202082,0.0750658,258792.81
0.12481142,0.07717615,259392.83
0.11846378,0.06981121,242514.3
0.11916033,0.07108329,218492.14
0.11913918,0.07102913,242774.16
0.11816568,0.06957822,233790.14
0.11842142,0.06973591,246192.27
0.11920517,0.07115036,256630.4
0.120240815,0.072393045,220337.56
0.12118655,0.07332527,243535.17
0.122827746,0.07633939,331997.5
0.12191224,0.0745515,248346.17
0.12070377,0.073078826,249614.5
0.120700315,0.07312077,244788.44
0.11973207,0.07161389,249019.08
0.119295835,0.07125327,263394.3
0.120245636,0.07264198,241242.5
0.123847954,0.07756127,324098.9
0.11602698,0.06659914,228271.7
0.12079816,0.0737238,216904.9
0.11896836,0.07088214,200466.38
0.11637062,0.06713838,219153.78
0.11565528,0.06581406,234639.45
0.12167217,0.0740805,245933.03
0.12279279,0.07589764,239623.84
0.11839394,0.06993933,247173.22
0.116985515,0.06800397,213236.7
0.11961153,0.07218318,246084.05
0.11741684,0.06904283,262593.84
0.12624091,0.07923038,326619.1
0.12053495,0.0728297,229159.38
0.11970424,0.07199271,264334.3
0.12114055,0.073668085,220215.27
0.117512,0.06907699,229596.58
0.12354075,0.0764902,236229.03
0.117424905,0.06899454,245484.81
0.11862517,0.070666745,227165.05
0.118671566,0.07037087,250671.53
0.116818935,0.06801349,234041.16
0.11850253,0.07011491,244708.81
0.11854934,0.070529036,269699.38
