0,1,2
13.97195,4.4153976,6.5686803
13.696251,4.4212184,6.6224504
14.113343,5.517627,7.976515
13.766051,4.1706886,6.267855
13.86644,4.3553557,6.3823075
13.80585,4.638043,6.9249277
13.638518,4.2777033,6.2912416
13.750408,4.7267017,6.9768085
13.855795,4.5167065,6.559431
13.960193,4.360357,6.5069113
14.171709,5.4492188,7.6801586
13.615467,4.3027067,6.3672047
13.626862,4.4477696,6.549333
13.580024,4.7608757,6.9278564
13.585607,4.2246065,6.241286
13.859693,4.3526125,6.498955
13.626135,5.0233192,7.166985
13.78525,4.404821,6.488442
13.564987,3.9538305,5.952878
13.522666,4.2661786,6.411911
13.631235,4.2720056,6.430113
13.611686,4.3394794,6.319803
13.521934,4.216939,6.2638235
13.666987,3.9957964,5.9730024
13.940355,4.6240506,6.8057656
13.88915,4.886374,7.1636257
13.924374,4.707109,6.918424
13.680968,4.5219393,6.763794
13.407126,4.2434964,6.085118
13.65459,4.4741783,6.6707067
13.933309,5.370963,7.7127233
13.589022,3.9275854,5.9292035
13.473471,3.858272,5.8058443
13.660157,4.0006905,5.9899926
13.681557,4.3644295,6.348006
13.757689,4.3992724,6.570782
14.003972,4.544066,6.8421617
13.638969,4.4768567,6.4525833
13.618543,4.6131587,6.720468
13.578466,4.39127,6.4795427
13.327877,3.8609402,5.893419
13.802052,5.6478105,7.8646297
13.643631,4.1047616,6.2132144
13.406763,4.1570864,6.1936417
13.645129,4.0918703,6.1145053
13.448962,4.328567,6.5014253
13.593047,4.132781,6.1743007
13.305817,4.437508,6.4762177
13.315424,3.921759,5.8800545
13.29077,4.2789583,6.321992
13.383933,4.4167953,6.4244494
13.365185,3.9475305,5.9848413
13.43473,4.3581905,6.332868
13.604143,3.9208193,5.9256916
13.353732,4.1100345,6.1799297
13.542673,3.9636974,5.990514
13.39115,3.96519,5.898288
13.199565,4.0519624,5.997128
13.331758,4.5824294,6.6037107
13.413584,4.350342,6.462448
13.679695,3.950846,6.099483
13.312897,4.331753,6.354634
13.647305,4.7250214,6.9491715
13.31605,4.194455,6.1934958
13.254666,3.9888139,5.9322405
13.0999,4.00873,5.995847
13.0114565,3.903023,5.7970824
13.218746,3.8974252,5.7269483
13.319031,3.7496116,5.6960554
13.345463,4.5302863,6.4611344
13.0922,4.1096954,6.0760565
13.1407795,3.7369487,5.6164927
13.051154,3.6278567,5.5013447
13.097026,3.7818797,5.5751233
12.94479,3.7430031,5.6416564
13.29451,4.182409,6.1537313
12.930318,4.1177354,6.036579
13.159014,4.429699,6.464856
12.822539,3.8109136,5.66316
13.127893,4.0839734,6.1313424
13.0291,3.944569,5.8569922
13.190984,3.645284,5.498229
12.860624,4.001139,5.887241
12.775314,3.7987282,5.683898
13.170003,4.0732536,6.0502977
12.8414755,3.574518,5.424005
13.160526,4.4998016,6.6439195
12.674212,3.661963,5.373074
12.942656,4.296729,6.3115864
13.029951,3.714204,5.5186315
12.858571,3.6658604,5.5183372
12.85715,3.8279514,5.675454
12.895863,4.3485436,6.376887
12.925855,4.796357,6.953429
12.78973,4.7776413,6.822011
12.6946535,3.4249976,5.169012
12.972884,4.6484385,6.6663527
12.538521,3.498606,5.3783007
12.461891,3.4407916,5.306212
12.506069,3.2937868,4.993853
12.761998,4.387167,6.396363
12.597949,4.030266,5.8748846
13.158613,4.4191856,6.560814
12.726596,3.6752007,5.6020007
12.77992,3.7378528,5.547502
12.427796,3.4074216,5.299821
12.594586,3.8045793,5.6773186
12.595177,3.9532993,5.896927
12.743429,3.6314454,5.526693
12.625437,3.9448464,5.9062314
12.559126,3.7498205,5.7032323
12.568049,3.8191416,5.6032424
12.570822,3.8273873,5.760859
12.42075,3.8843982,5.715504
12.825,4.097819,6.010613
12.577002,4.0843825,6.093513
12.504698,4.2911015,6.361804
12.33441,3.5647192,5.413688
12.361482,3.6979704,5.5539045
12.524718,4.5753355,6.6452317
12.209735,3.4425938,5.183015
12.439838,3.5370512,5.4225183
12.259318,3.4791684,5.3236895
12.310996,3.885528,5.8051715
12.341451,4.525266,6.6033154
12.233834,3.4930427,5.292168
12.5953245,3.5771346,5.4350743
12.48183,3.8431807,5.754068
12.442381,4.141852,6.1545115
12.166162,3.5829055,5.417338
12.237627,3.8056808,5.644539
12.081194,3.7109754,5.551744
12.431976,3.5673056,5.3780046
12.172757,3.6750546,5.5782666
12.125078,3.7737164,5.6336775
12.255323,4.1772904,6.1816316
12.092074,3.4976866,5.2424917
12.115016,3.5236814,5.3885713
12.16132,3.7862747,5.5419707
12.104395,3.9365962,5.794763
12.434515,3.5456972,5.4603477
11.8726635,3.4113884,5.163375
11.898699,3.2691548,5.080223
12.272571,3.3004365,5.090388
12.156677,4.1890335,6.2049756
11.7183275,3.2040591,4.9602075
12.027757,3.7892168,5.703291
12.039769,4.357724,6.350807
12.1636715,3.3523924,5.149272
11.7766,3.7482984,5.5584455
11.785583,3.3390589,5.133337
12.0260315,3.307395,5.1230764
11.920351,3.6269414,5.4012394
11.896505,4.084034,5.9657764
12.183741,4.011086,6.060202
11.8363285,3.396683,5.148157
11.98852,3.5284986,5.3285875
11.904085,4.102213,5.9268637
11.675934,3.032488,4.798426
11.80058,3.5175288,5.3383512
11.74139,3.4911966,5.2663655
11.907789,3.3745806,5.154448
11.853716,3.8272054,5.7486153
12.400263,3.743016,5.6265416
11.74529,3.2517993,5.0483656
11.672896,3.5168936,5.343535
11.502578,3.1788988,4.8808875
11.759485,3.2234995,4.9642215
11.912767,3.65298,5.5819235
11.582054,3.0727746,4.8258557
11.734125,3.5517604,5.3726134
11.811674,3.429137,5.1890693
12.398649,4.027836,6.027526
11.743511,3.5759168,5.487024
11.634309,3.6141424,5.479086
11.814528,3.4461234,5.3554225
11.615839,3.3707488,5.1572137
11.713613,3.4857225,5.3228173
11.5551815,3.7080774,5.5909677
11.92794,3.5188284,5.360825
11.50687,3.3054893,5.104718
11.400864,3.4533868,5.2994246
11.625121,3.5228906,5.33243
11.395741,3.3178942,5.0930066
11.851415,3.0484397,4.904966
11.579892,3.381533,5.251071
11.328381,3.2077527,4.9631753
11.911137,3.3791895,5.303031
11.617305,3.0094683,4.7543426
11.482263,3.5211656,5.3412743
11.968377,4.018385,5.9885883
11.534506,3.0578556,4.7888975
11.358168,2.9930336,4.734668
11.4111185,3.3942852,5.2464123
11.563628,3.6189835,5.5605397
11.44431,3.3716438,5.1664615
11.480595,3.3643055,5.1116056
11.520663,3.2923832,5.0859737
11.386784,3.2684758,5.0257893
11.619149,3.721456,5.6653514
11.413386,3.1605191,4.9174795
11.546414,3.1356392,4.8853173
11.367368,3.539674,5.3826704
11.573608,3.4748719,5.378877
